x,y
-8.36,59.74
-5.32,70.43
-2.3,81.69
0.782,92.85
3.82,103.9
6.96,114.7
9.88,124.4
12.9,132.6
15.9,142.8
18.9,151.4
22.1,159.8
25.2,167.2
28.4,174.7
31.5,181.1
34.9,187.4
38,193.5
41.4,199.6
41.4,199.6
44.8,206.9
47.9,213.8
50.9,220.4
53.9,228.3
57,235.9
60.3,244
63.6,251.3
66.9,257.8
70.1,263.7
73.4,268.5
76.6,272.4
79.7,275.8
82.7,278
85.9,279.3
89.4,281.2
89.9,281.5
89.9,259.8
89.9,252.8
89.9,248.6
88.5,215.6
86.9,182.9
85.1,152.3
85.1,152.3
82.7,117
80.3,85.96
77.4,56.89
74.5,32.78
71.6,14.54
68.5,-1.866
65.4,-17.91
62.2,-29.92
61.9,-27.86
61.9,-23.01
61.9,-21.97
58.6,-42.16
55.4,-51.37
52.4,-59.51
49.3,-66.42
46.1,-72.06
42.8,-77.86
39.4,-83.65
36.1,-89.51
32.8,-95.28
29.6,-100.6
26.4,-106.2
26.4,-106.2
23.2,-110.6
20,-115.8
16.9,-120.4
13.9,-124.5
10.8,-128.6
7.69,-133.2
4.52,-137.8
1.37,-141.6
-1.79,-146.4
-4.95,-150
-8.05,-154.7
-11.1,-159.1
-14.2,-163.7
-17.2,-168.4
-20.2,-174.4
-23.3,-180
-26.5,-186.2
-29.7,-191.6
-33,-197.5
-36.3,-203.3
-39.6,-209.9
-43,-215.4
-43,-215.4
-46.4,-220.9
-49.5,-226
-52.7,-230.4
-55.7,-234.3
-58.5,-237.7
-61.6,-240.4
-64.7,-243.3
-68.2,-245.4
-71.2,-246.6
-74.2,-247.9
-77.3,-248.2
-80.3,-248.9
-83.7,-249
-85.4,-241.6
-85.4,-232.1
-85.4,-224.8
-85.4,-220.6
-84.2,-191.4
-82.5,-161.8
-80.4,-132.9
-78.1,-103.9
-75.5,-73.74
-75.5,-73.74
-72.6,-45.53
-69.7,-22.59
-66.6,-5.088
-63.3,8.903
-60.2,22.57
-57.3,33.34
-54.4,43.17
-51.4,52.49
-48.2,60.79
-45,67.87
-41.7,73.51
-38.3,79.41
-35,85.31
-31.7,90.92
-28.4,96.36
-25.2,102.3
-22.1,108
-19,113.1
-15.9,119.2
-13,124.1
-9.95,129.5
-6.93,134.4
-6.93,134.4
-3.87,139.3
-0.777,143.6
2.37,148.2
5.44,152.9
8.29,156.6
11.6,160.9
14.7,165
17.8,169
20.9,172.4
24,176.5
27.3,180.4
30.6,184.2
33.7,187.6
37,190.7
40.4,195
43.6,198.1
46.8,201.7
50,205.5
52.9,208.4
55.9,212.6
59.1,216.5
62.5,220.6
62.5,220.6
66,225.1
69.2,229.2
72.4,233.6
75.5,238.6
78.4,242.4
81.6,247.3
84.9,250.7
88.1,253.5
87,222.1
85.4,189.7
83.5,159.3
81.4,127.4
79.1,97.95
76.4,68.68
73.4,43.35
70.4,23
67.1,6.304
63.9,-8.917
60.5,-22
57.4,-33.14
54.4,-43.4
51.4,-51.56
51.4,-51.56
48.2,-58.42
44.9,-64.87
41.5,-70.01
38.2,-75.53
34.9,-80.91
31.6,-86.66
28.4,-92.07
25.1,-97.91
21.9,-103.9
18.7,-108.3
15.5,-112.3
12.5,-116
9.54,-120.6
6.22,-124.6
3.07,-128.5
0.015,-132.1
-3.09,-135.9
-6.24,-139.3
-9.29,-143.4
-12.4,-146.8
-15.4,-150.9
-18.5,-154.3
-18.5,-154.3
-21.5,-158
-24.6,-163
-27.9,-167.5
-31.2,-172.2
-34.6,-176.7
-37.9,-180.8
-41.3,-185.5
-44.7,-190
-47.9,-194.4
-51.1,-199
-54.1,-202.7
-57,-207.1
-59.9,-210.6
-63.1,-214.4
-66.3,-217
-69.7,-219.5
-72.7,-222.4
-75.8,-224.3
-78.8,-226.8
-81.8,-229
-85.2,-230.9
-84.3,-201.4
-84.3,-201.4
-81.8,-157.1
-79.4,-127.2
-76.9,-97.24
-74.2,-67.93
-71.2,-41.25
-68.3,-18.71
-64.9,-1.333
-61.6,12.96
-58.6,26
-55.7,36.68
-52.6,46.21
-49.5,54.14
-46.1,61.01
-42.7,66.75
-39.5,71.4
-36.2,76.64
-32.9,81.64
-29.6,87.01
-26.2,93.13
-22.9,98.49
-19.8,103.9
-16.7,109.1
-16.7,109.1
-13.6,114.2
-10.6,119.8
-7.59,124.4
-4.49,129.8
-1.29,134
1.86,138.8
4.92,143.5
7.96,147.4
11.1,151.2
14.2,155.3
17.3,159.5
20.4,163.6
23.5,167.5
26.8,171.1
30.2,174.8
33.4,178.7
36.8,181.9
40.1,185.5
43.4,188.8
46.7,192.4
49.9,196
53,198.9
53,198.9
56.3,202.7
59.4,205.6
62.8,208.2
66.3,211.3
69.4,214.9
72.7,217.2
75.9,219.8
79.1,222.6
82.2,224.7
85.4,226.5
84.1,194.8
82.4,163.1
80.5,132.6
78.3,102.2
75.5,72.61
72.6,46.65
69.5,25.9
